"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AENJPLPP_00743",0.877566895951458,-0.515543962532854,1.80622554638359,-0.285426127188308,0.775317693079732,NA
"AENJPLPP_00745",0.958068116550094,-3.1205435970069,1.97706679587575,-1.57837034313484,0.114480554267895,NA
"AENJPLPP_00751",0.913860378828578,0.485176394727573,1.81074744186066,0.267942609505511,0.788743494793933,NA
"AENJPLPP_00753",0.717883188057575,0.554974764301759,2.15111119815293,0.257994456436418,0.796411185563818,NA
"AENJPLPP_00754",0,NA,NA,NA,NA,NA
"AENJPLPP_00755",0,NA,NA,NA,NA,NA
"AENJPLPP_00757",0,NA,NA,NA,NA,NA
"AENJPLPP_00759",0.287030042831518,-1.36881106618645,3.24110502318218,-0.422328513391561,0.672785248699044,NA
"AENJPLPP_00766",0,NA,NA,NA,NA,NA
"AENJPLPP_00768",0.292395125132511,0.559847544303192,3.04117085374529,0.184089474490959,0.853943263509088,NA
"AENJPLPP_00773",0.785857701866226,1.0565882257814,1.96233917134411,0.538433029932172,0.590278128290883,NA
"AENJPLPP_00777",0.47220362942539,1.34591633916046,2.45713787297521,0.547757760752255,0.583858245328195,NA
"AENJPLPP_00778",0,NA,NA,NA,NA,NA
