"","BH1","BH2","BH3","Serum1","Serum2","Serum3"
"AENJPLPP_01109",9.4719914134401,11.2430277244283,8.44817667951528,3.19752836467079,4.93177344510474,10.7885102575728
"AENJPLPP_01110",5.16654077096733,10.4399543155406,5.37611243241881,7.99382091167697,5.91812813412569,4.31540410302911
"AENJPLPP_01111",2.58327038548366,0.803073408887736,4.6080963706447,15.9876418233539,10.8499015792304,7.55195718030094
"AENJPLPP_01112",0,0.803073408887736,0.768016061774116,3.19752836467079,0.986354689020948,0
"AENJPLPP_01113",0.861090128494554,0,1.53603212354823,0,0.986354689020948,2.15770205151455
"AENJPLPP_01114",6.88872102795643,4.81844045332642,1.53603212354823,4.79629254700618,1.9727093780419,1.07885102575728
"AENJPLPP_01115",2.58327038548366,4.01536704443868,5.37611243241881,4.79629254700618,3.94541875608379,1.07885102575728
"AENJPLPP_01116",3.44436051397822,0.803073408887736,6.14412849419293,4.79629254700618,0.986354689020948,4.31540410302911
"AENJPLPP_01117",3.44436051397822,5.62151386221415,5.37611243241881,0,5.91812813412569,1.07885102575728
"AENJPLPP_01118",4.30545064247277,9.63688090665283,6.91214455596705,4.79629254700618,2.95906406706284,2.15770205151455
"AENJPLPP_01119",49.0821373241896,43.3659640799377,40.7048512740282,25.5802269173663,16.7680297133561,17.2616164121164
"AENJPLPP_01120",51.6654077096732,48.9874779421519,46.8489797682211,23.9814627350309,9.86354689020948,12.9462123090873
"AENJPLPP_01121",96.4420943913901,99.5811027020792,82.9457346716045,51.1604538347326,39.4541875608379,55.0214023136211
"AENJPLPP_01122",216.994712380628,212.011379946362,168.963533590306,148.685068957192,91.7309860789481,99.2542943696695
"AENJPLPP_01123",247.993957006432,218.435967217464,205.060288493689,105.518436034136,74.962956365592,57.1791043651357
"AENJPLPP_01124",30.999244625804,40.1536704443868,47.6169958299952,11.1913492763478,29.5906406706284,33.4443817984756
"AENJPLPP_01125",88.6922832349391,71.4735333910085,86.017798918701,57.5555105640742,54.2495078961521,48.5482961590775
"AENJPLPP_01126",57.6930386091351,66.6550929376821,49.1530279535434,14.3888776410185,20.7134484694399,23.7347225666601
"AENJPLPP_01127",6.88872102795643,10.4399543155406,9.98420880306351,0,1.9727093780419,3.23655307727183
"AENJPLPP_01128",20.6661630838693,11.2430277244283,16.8963533590306,14.3888776410185,6.90448282314663,7.55195718030094
"AENJPLPP_01129",10.3330815419347,8.03073408887736,3.84008030887058,6.39505672934157,0.986354689020948,4.31540410302911
"AENJPLPP_01130",19.8050729553747,15.258394768867,21.5044497296753,20.7839343703601,14.7953203353142,15.1039143606019
"AENJPLPP_01131",70.6093905365534,61.8366524843557,65.2813652507999,55.9567463817388,42.4132516279008,51.7848492363493
"AENJPLPP_01132",14.6385321844074,14.4553213599792,4.6080963706447,7.99382091167697,6.90448282314663,10.7885102575728
"AENJPLPP_01133",24.9716137263421,23.2891288577443,11.5202409266117,12.7901134586831,9.86354689020948,10.7885102575728
"AENJPLPP_01134",11.1941716704292,9.63688090665283,7.68016061774116,3.19752836467079,0.986354689020948,2.15770205151455
"AENJPLPP_01135",2.58327038548366,1.60614681777547,2.30404818532235,1.59876418233539,0,4.31540410302911
"AENJPLPP_01136",3.44436051397822,2.40922022666321,0.768016061774116,11.1913492763478,0,1.07885102575728
"AENJPLPP_01137",4.30545064247277,6.42458727110189,5.37611243241881,9.59258509401236,3.94541875608379,3.23655307727183
"AENJPLPP_01138",28.4159742403203,11.2430277244283,16.8963533590306,6.39505672934157,7.89083751216758,9.7096592318155
"AENJPLPP_01139",30.1381544973094,21.6829820399689,26.1125461003199,23.9814627350309,20.7134484694399,21.5770205151455
"AENJPLPP_01140",5.16654077096733,4.81844045332642,6.14412849419293,7.99382091167697,4.93177344510474,15.1039143606019
"AENJPLPP_01141",50.8043175811787,60.2305056665802,69.1214455596704,27.1789910997017,51.2904438290893,60.4156574424075
"AENJPLPP_01142",55.970858352146,61.0335790754679,59.9052528183811,60.7530389287449,53.2631532071312,38.838636927262
"AENJPLPP_01143",9.4719914134401,8.03073408887736,16.1283372972564,11.1913492763478,3.94541875608379,3.23655307727183
"AENJPLPP_01144",3.44436051397822,0,1.53603212354823,1.59876418233539,0.986354689020948,0
"AENJPLPP_01145",8.61090128494554,7.22766067998962,7.68016061774116,9.59258509401236,8.87719220118853,10.7885102575728
"AENJPLPP_01146",0,0,1.53603212354823,3.19752836467079,6.90448282314663,12.9462123090873
